Number,Species,group,death1,temperature,Time(min)
1,MAN,n1,0,-9,20
2,MAN,n1,0,-9,20
3,MAN,n1,0,-9,20
4,MAN,n1,0,-9,20
5,MAN,n1,0,-9,20
6,MAN,n2,0,-9,40
7,MAN,n2,0,-9,40
8,MAN,n2,0,-9,40
9,MAN,n2,0,-9,40
10,MAN,n2,0,-9,40
11,MAN,n3,0,-9,60
12,MAN,n3,0,-9,60
13,MAN,n3,0,-9,60
14,MAN,n3,0,-9,60
15,MAN,n3,0,-9,60
16,MAN,n4,0,-9,80
17,MAN,n4,1,-9,80
18,MAN,n4,0,-9,80
19,MAN,n4,0,-9,80
20,MAN,n4,0,-9,80
21,MAN,n5,0,-9,100
22,MAN,n5,0,-9,100
23,MAN,n5,0,-9,100
24,MAN,n5,0,-9,100
25,MAN,n5,0,-9,100
26,MAN,n6,1,-9,120
27,MAN,n6,0,-9,120
28,MAN,n6,0,-9,120
29,MAN,n6,0,-9,120
30,MAN,n6,0,-9,120
31,MAN,n7,0,-9,140
32,MAN,n7,0,-9,140
33,MAN,n7,1,-9,140
34,MAN,n7,1,-9,140
35,MAN,n7,0,-9,140
36,MAN,n8,1,-9,160
37,MAN,n8,1,-9,160
38,MAN,n8,0,-9,160
39,MAN,n8,0,-9,160
40,MAN,n8,1,-9,160
41,VAR,n1,0,-9,20
42,VAR,n1,0,-9,20
43,VAR,n1,0,-9,20
44,VAR,n1,0,-9,20
45,VAR,n1,0,-9,20
46,VAR,n2,0,-9,40
47,VAR,n2,0,-9,40
48,VAR,n2,0,-9,40
49,VAR,n2,0,-9,40
50,VAR,n2,0,-9,40
51,VAR,n3,0,-9,60
52,VAR,n3,0,-9,60
53,VAR,n3,0,-9,60
54,VAR,n3,0,-9,60
55,VAR,n3,0,-9,60
56,VAR,n4,0,-9,80
57,VAR,n4,0,-9,80
58,VAR,n4,1,-9,80
59,VAR,n4,0,-9,80
60,VAR,n4,0,-9,80
61,VAR,n5,1,-9,100
62,VAR,n5,0,-9,100
63,VAR,n5,0,-9,100
64,VAR,n5,0,-9,100
65,VAR,n5,0,-9,100
66,VAR,n6,0,-9,120
67,VAR,n6,0,-9,120
68,VAR,n6,0,-9,120
69,VAR,n6,0,-9,120
70,VAR,n6,1,-9,120
71,VAR,n7,0,-9,140
72,VAR,n7,1,-9,140
73,VAR,n7,0,-9,140
74,VAR,n7,0,-9,140
75,VAR,n7,0,-9,140
76,VAR,n8,0,-9,160
77,VAR,n8,1,-9,160
78,VAR,n8,1,-9,160
79,VAR,n8,1,-9,160
80,VAR,n8,0,-9,160
81,MAN,t1,0,-10,20
82,MAN,t1,0,-10,20
83,MAN,t1,0,-10,20
84,MAN,t1,0,-10,20
85,MAN,t1,0,-10,20
86,MAN,t2,0,-10,40
87,MAN,t2,1,-10,40
88,MAN,t2,0,-10,40
89,MAN,t2,0,-10,40
90,MAN,t2,0,-10,40
91,MAN,t3,0,-10,60
92,MAN,t3,0,-10,60
93,MAN,t3,1,-10,60
94,MAN,t3,0,-10,60
95,MAN,t3,1,-10,60
96,MAN,t4,0,-10,80
97,MAN,t4,0,-10,80
98,MAN,t4,0,-10,80
99,MAN,t4,0,-10,80
100,MAN,t4,0,-10,80
101,MAN,t5,0,-10,100
102,MAN,t5,0,-10,100
103,MAN,t5,0,-10,100
104,MAN,t5,1,-10,100
105,MAN,t5,0,-10,100
106,MAN,t6,0,-10,120
107,MAN,t6,0,-10,120
108,MAN,t6,0,-10,120
109,MAN,t6,0,-10,120
110,MAN,t6,1,-10,120
111,MAN,t7,0,-10,140
112,MAN,t7,1,-10,140
113,MAN,t7,1,-10,140
114,MAN,t7,1,-10,140
115,MAN,t7,1,-10,140
116,MAN,t8,1,-10,160
117,MAN,t8,1,-10,160
118,MAN,t8,1,-10,160
119,MAN,t8,1,-10,160
120,MAN,t8,1,-10,160
121,VAR,t1,0,-10,20
122,VAR,t1,0,-10,20
123,VAR,t1,0,-10,20
124,VAR,t1,0,-10,20
125,VAR,t1,0,-10,20
126,VAR,t2,0,-10,40
127,VAR,t2,1,-10,40
128,VAR,t2,1,-10,40
129,VAR,t2,0,-10,40
130,VAR,t2,1,-10,40
131,VAR,t3,0,-10,60
132,VAR,t3,0,-10,60
133,VAR,t3,0,-10,60
134,VAR,t3,0,-10,60
135,VAR,t3,1,-10,60
136,VAR,t4,1,-10,80
137,VAR,t4,0,-10,80
138,VAR,t4,0,-10,80
139,VAR,t4,0,-10,80
140,VAR,t4,1,-10,80
141,VAR,t5,0,-10,100
142,VAR,t5,0,-10,100
143,VAR,t5,1,-10,100
144,VAR,t5,1,-10,100
145,VAR,t5,1,-10,100
146,VAR,t6,0,-10,120
147,VAR,t6,0,-10,120
148,VAR,t6,0,-10,120
149,VAR,t6,1,-10,120
150,VAR,t6,1,-10,120
151,VAR,t7,0,-10,140
152,VAR,t7,1,-10,140
153,VAR,t7,1,-10,140
154,VAR,t7,1,-10,140
155,VAR,t7,1,-10,140
156,VAR,t8,1,-10,160
157,VAR,t8,1,-10,160
158,VAR,t8,1,-10,160
159,VAR,t8,1,-10,160
160,VAR,t8,1,-10,160
161,MAN,e1,0,-8,30
162,MAN,e1,0,-8,30
163,MAN,e1,0,-8,30
164,MAN,e1,0,-8,30
165,MAN,e1,0,-8,30
166,MAN,e2,0,-8,60
167,MAN,e2,0,-8,60
168,MAN,e2,0,-8,60
169,MAN,e2,0,-8,60
170,MAN,e2,0,-8,60
171,MAN,e3,0,-8,90
172,MAN,e3,0,-8,90
173,MAN,e3,1,-8,90
174,MAN,e3,0,-8,90
175,MAN,e3,0,-8,90
176,MAN,e4,0,-8,120
177,MAN,e4,0,-8,120
178,MAN,e4,0,-8,120
179,MAN,e4,0,-8,120
180,MAN,e4,1,-8,120
181,MAN,e5,0,-8,150
182,MAN,e5,0,-8,150
183,MAN,e5,0,-8,150
184,MAN,e5,0,-8,150
185,MAN,e5,0,-8,150
186,MAN,e6,1,-8,180
187,MAN,e6,1,-8,180
188,MAN,e6,1,-8,180
189,MAN,e6,1,-8,180
190,MAN,e6,0,-8,180
191,MAN,e7,1,-8,210
192,MAN,e7,1,-8,210
193,MAN,e7,1,-8,210
194,MAN,e7,1,-8,210
195,MAN,e7,1,-8,210
196,MAN,e8,1,-8,240
197,MAN,e8,1,-8,240
198,MAN,e8,1,-8,240
199,MAN,e8,1,-8,240
200,MAN,e8,1,-8,240
201,VAR,e1,0,-8,30
202,VAR,e1,0,-8,30
203,VAR,e1,0,-8,30
204,VAR,e1,0,-8,30
205,VAR,e1,0,-8,30
206,VAR,e2,0,-8,60
207,VAR,e2,0,-8,60
208,VAR,e2,0,-8,60
209,VAR,e2,0,-8,60
210,VAR,e2,1,-8,60
211,VAR,e3,0,-8,90
212,VAR,e3,1,-8,90
213,VAR,e3,1,-8,90
214,VAR,e3,0,-8,90
215,VAR,e3,1,-8,90
216,VAR,e4,0,-8,120
217,VAR,e4,1,-8,120
218,VAR,e4,1,-8,120
219,VAR,e4,0,-8,120
220,VAR,e4,1,-8,120
221,VAR,e5,1,-8,150
222,VAR,e5,1,-8,150
223,VAR,e5,1,-8,150
224,VAR,e5,1,-8,150
225,VAR,e5,0,-8,150
226,VAR,e6,0,-8,180
227,VAR,e6,0,-8,180
228,VAR,e6,1,-8,180
229,VAR,e6,1,-8,180
230,VAR,e6,1,-8,180
231,VAR,e7,1,-8,210
232,VAR,e7,1,-8,210
233,VAR,e7,1,-8,210
234,VAR,e7,1,-8,210
235,VAR,e7,1,-8,210
236,VAR,e8,0,-8,240
237,VAR,e8,1,-8,240
238,VAR,e8,1,-8,240
239,VAR,e8,1,-8,240
240,VAR,e8,1,-8,240
241,MAN,s1,0,-7,40
242,MAN,s1,0,-7,40
243,MAN,s1,0,-7,40
244,MAN,s1,0,-7,40
245,MAN,s1,0,-7,40
246,MAN,s2,0,-7,80
247,MAN,s2,1,-7,80
248,MAN,s2,0,-7,80
249,MAN,s2,0,-7,80
250,MAN,s2,0,-7,80
251,MAN,s3,0,-7,120
252,MAN,s3,0,-7,120
253,MAN,s3,0,-7,120
254,MAN,s3,0,-7,120
255,MAN,s3,0,-7,120
256,MAN,s4,1,-7,160
257,MAN,s4,1,-7,160
258,MAN,s4,0,-7,160
259,MAN,s4,0,-7,160
260,MAN,s4,0,-7,160
261,MAN,s5,0,-7,200
262,MAN,s5,0,-7,200
263,MAN,s5,0,-7,200
264,MAN,s5,0,-7,200
265,MAN,s5,0,-7,200
266,MAN,s6,1,-7,240
267,MAN,s6,0,-7,240
268,MAN,s6,1,-7,240
269,MAN,s6,0,-7,240
270,MAN,s6,1,-7,240
271,MAN,s7,0,-7,280
272,MAN,s7,0,-7,280
273,MAN,s7,1,-7,280
274,MAN,s7,0,-7,280
275,MAN,s7,1,-7,280
276,MAN,s8,1,-7,320
277,MAN,s8,1,-7,320
278,MAN,s8,1,-7,320
279,MAN,s8,1,-7,320
280,MAN,s8,1,-7,320
281,VAR,s1,0,-7,40
282,VAR,s1,0,-7,40
283,VAR,s1,0,-7,40
284,VAR,s1,0,-7,40
285,VAR,s1,1,-7,40
286,VAR,s2,0,-7,80
287,VAR,s2,0,-7,80
288,VAR,s2,1,-7,80
289,VAR,s2,0,-7,80
290,VAR,s2,0,-7,80
291,VAR,s3,0,-7,120
292,VAR,s3,0,-7,120
293,VAR,s3,1,-7,120
294,VAR,s3,0,-7,120
295,VAR,s3,1,-7,120
296,VAR,s4,1,-7,160
297,VAR,s4,1,-7,160
298,VAR,s4,0,-7,160
299,VAR,s4,1,-7,160
300,VAR,s4,1,-7,160
301,VAR,s5,1,-7,200
302,VAR,s5,0,-7,200
303,VAR,s5,1,-7,200
304,VAR,s5,1,-7,200
305,VAR,s5,0,-7,200
306,VAR,s6,1,-7,240
307,VAR,s6,0,-7,240
