Bins(cm),Species ,Length(cm),Notes,QUA,Line
5,NONE,NONE,NONE,1,1
10,VAR,4.1,alive,1,1
10,VAR,4.3,alive,1,1
15,VAR,4.5,alive,1,1
5,VAR,2.1,alive,2,1
5,VAR,2.3,alive,2,1
5,VAR,1.8,dead,2,1
5,MAN,4.4,alive,2,1
10,VAR,3.9,alive,2,1
10,VAR,3.6,alive,2,1
10,VAR,4.4,alive,2,1
10,VAR,3.6,alive,2,1
10,VAR,3.6,alive,2,1
10,VAR,2.8,alive,2,1
10,VAR,3.1,alive,2,1
10,VAR,2.2,alive,2,1
10,VAR,3.2,alive,2,1
10,VAR,2.6,alive,2,1
10,VAR,3.1,alive,2,1
10,VAR,3,alive,2,1
15,VAR,5,dead,2,1
15,VAR,4.4,alive,2,1
15,VAR,4.3,dead,2,1
15,VAR,3.5,alive,2,1
15,VAR,2.7,alive,2,1
15,VAR,3.6,alive,2,1
15,VAR,4.8,dead,2,1
15,VAR,5.6,alive,2,1
15,VAR,3.1,alive,2,1
15,VAR,4,alive,2,1
15,VAR,4.3,alive,2,1
15,VAR,4.4,alive,2,1
15,VAR,2.7,alive,2,1
5,VAR,5.8,alive,3,1
5,VAR,1.2,alive,3,1
5,VAR,1.3,alive,3,1
5,VAR,1.8,alive,3,1
10,VAR,5.5,alive,3,1
10,VAR,5.4,alive,3,1
10,VAR,4.5,alive,3,1
10,VAR,4.8,alive,3,1
10,VAR,3.6,alive,3,1
10,VAR,3.5,alive,3,1
10,VAR,5.2,alive,3,1
10,VAR,3.4,alive,3,1
10,VAR,2.2,alive,3,1
10,VAR,2.2,alive,3,1
10,VAR,3.1,alive,3,1
10,VAR,3.2,alive,3,1
10,VAR,4.5,alive,3,1
10,VAR,4.8,alive,3,1
10,VAR,2.2,alive,3,1
15,VAR,5.6,alive,3,1
15,VAR,4,alive,3,1
15,VAR,5.3,alive,3,1
15,VAR,3.9,alive,3,1
5,VAR,1.6,alive,4,1
5,VAR,1.4,alive,4,1
5,VAR,1.3,alive,4,1
5,MAN,0.9,alive,4,1
5,MAN,2.1,alive,4,1
5,MAN,1.3,alive,4,1
5,MAN,1.7,alive,4,1
5,MAN,1.2,alive,4,1
5,MAN,0.8,alive,4,1
5,MAN,1.8,alive,4,1
5,MAN,2.9,alive,4,1
10,MAN,5.3,alive,4,1
10,MAN,6,alive,4,1
10,MAN,6.2,alive,4,1
10,MAN,5,alive,4,1
10,VAR,5.3,alive,4,1
10,VAR,4.9,alive,4,1
10,VAR,4.3,alive,4,1
10,VAR,4.2,alive,4,1
10,VAR,4.1,alive,4,1
10,VAR,3.8,alive,4,1
10,VAR,3.3,alive,4,1
10,VAR,2.3,alive,4,1
10,MAN,1.2,alive,4,1
10,MAN,1.1,alive,4,1
10,VAR,1.6,alive,4,1
15,VAR,5.3,alive,4,1
15,VAR,4.9,alive,4,1
15,VAR,4.8,alive,4,1
15,VAR,4.1,alive,4,1
15,VAR,4,alive,4,1
15,VAR,3.9,alive,4,1
15,VAR,4.2,alive,4,1
15,VAR,4,alive,4,1
15,MAN,2.4,alive,4,1
15,MAN,4.5,alive,4,1
15,VAR,2.3,alive,4,1
5,NONE,NONE,NONE,1,6
10,VAR,2.1,alive,1,6
15,VAR,4.8,alive,1,6
15,VAR,4.5,alive,1,6
15,VAR,4.3,dead,1,6
15,VAR,3.7,alive,1,6
15,VAR,3.2,alive,1,6
5,MAN,1.2,alive,2,6
5,VAR,3.3,alive,2,6
5,VAR,4.3,alive,2,6
5,VAR,3.3,alive,2,6
5,VAR,3.5,alive,2,6
10,VAR,4.8,alive,2,6
10,VAR,3.8,alive,2,6
10,VAR,3.9,alive,2,6
10,VAR,3.3,alive,2,6
10,VAR,3.8,alive,2,6
10,VAR,3.4,alive,2,6
10,VAR,3.7,alive,2,6
10,VAR,3.5,alive,2,6
10,VAR,3,alive,2,6
10,VAR,2.9,alive,2,6
10,VAR,2.1,alive,2,6
10,VAR,2,alive,2,6
15,VAR,5.6,alive,2,6
15,VAR,5.3,alive,2,6
15,VAR,6.8,alive,2,6
15,VAR,4,alive,2,6
15,VAR,3.6,alive,2,6
15,VAR,5.1,alive,2,6
15,VAR,3.5,alive,2,6
15,VAR,3.3,alive,2,6
15,VAR,3.6,alive,2,6
15,VAR,3,alive,2,6
15,VAR,3.8,alive,2,6
15,VAR,3.9,alive,2,6
15,VAR,2.2,alive,2,6
15,VAR,2.5,alive,2,6
15,VAR,3.6,alive,2,6
15,VAR,3.3,alive,2,6
5,NONE,NONE,NONE,3,6
10,VAR,5.5,alive,3,6
10,VAR,5.8,alive,3,6
10,VAR,5.2,alive,3,6
10,VAR,5.9,alive,3,6
10,VAR,3.6,alive,3,6
10,VAR,3.4,alive,3,6
10,VAR,5.8,alive,3,6
10,VAR,2.8,dead,3,6
10,VAR,3.7,alive,3,6
10,VAR,4.1,alive,3,6
10,VAR,3.2,alive,3,6
15,VAR,4,alive,3,6
15,VAR,5,alive,3,6
15,VAR,5.1,alive,3,6
15,VAR,4.9,alive,3,6
15,VAR,4.8,alive,3,6
15,VAR,4.7,alive,3,6
15,VAR,4.5,alive,3,6
5,MAN,4.2,alive,4,6
5,MAN,3.9,alive,4,6
5,VAR,2,alive,4,6
5,MAN,1.6,alive,4,6
5,MAN,1.1,alive,4,6
5,MAN,0.6,alive,4,6
5,MAN,1,alive,4,6
10,VAR,6,alive,4,6
10,VAR,5.1,alive,4,6
10,VAR,4.8,alive,4,6
10,LIT,0.8,alive,4,6
10,LIT,1.9,alive,4,6
10,LIT,1,alive,4,6
10,VAR,5.8,alive,4,6
10,LIT,1.1,alive,4,6
10,VAR,4,alive,1,18
10,VAR,4.3,alive,1,18
10,VAR,5,dead,1,18
15,VAR,5,dead,1,18
5,VAR,2.5,alive,2,18
5,VAR,3,dead,2,18
5,MAN,3.4,alive,2,18
10,VAR,5.3,alive,2,18
10,VAR,2.2,alive,2,18
10,VAR,2.1,alive,2,18
10,VAR,3.3,alive,2,18
10,VAR,3,alive,2,18
10,VAR,2,alive,2,18
10,VAR,5,alive,2,18
10,VAR,5.6,alive,2,18
10,VAR,5.3,alive,2,18
10,VAR,2,alive,2,18
10,VAR,5,dead,2,18
10,VAR,2.2,alive,2,18
10,VAR,2.6,alive,2,18
10,MAN,1.5,alive,2,18
15,VAR,3.3,alive,2,18
15,VAR,3.6,alive,2,18
15,VAR,4,alive,2,18
15,VAR,2.7,alive,2,18
15,VAR,3.4,alive,2,18
15,VAR,3.8,alive,2,18
15,VAR,3,alive,2,18
15,VAR,3.9,alive,2,18
15,VAR,3.5,alive,2,18
5,VAR,3.2,alive,3,18
5,VAR,2.1,alive,3,18
5,LIT,4.9,alive,3,18
5,LIT,4.3,alive,3,18
5,LIT,5.6,alive,3,18
5,LIT,3,alive,3,18
5,LIT,3.4,alive,3,18
5,SOS,3,alive,3,18
10,VAR,5.5,alive,3,18
10,VAR,4.4,alive,3,18
10,VAR,4.4,alive,3,18
10,VAR,5.7,alive,3,18
10,VAR,5.5,alive,3,18
10,LIT,3.5,alive,3,18
10,MAN,3.1,dead,3,18
15,VAR,4.5,alive,3,18
15,VAR,4.6,alive,3,18
15,VAR,2.4,alive,3,18
5,LIT,4.5,dead,4,18
5,LIT,3.1,dead,4,18
5,VAR,5.5,dead,4,18
5,SOS,7.5,dead,4,18
10,LIT,5.6,alive,4,18
10,LIT,5.7,alive,4,18
10,MAN,5.9,alive,4,18
10,LIT,3,alive,4,18
10,LIT,2.5,alive,4,18
10,LIT,5.8,alive,4,18
10,LIT,5,alive,4,18
10,LIT,3.6,alive,4,18
10,LIT,5.3,alive,4,18
10,MAC,2,alive,4,18
10,MAC,0.9,alive,4,18
10,MAC,1,alive,4,18
15,LIT,5.6,alive,4,18
15,LIT,5.5,alive,4,18
15,SOS,6.5,alive,4,18
15,SOS,6.6,alive,4,18
15,LIT,6,alive,4,18
10,VAR,3.6,alive,1,22
5,MAN,3.3,alive,2,22
10,VAR,3.9,alive,2,22
10,VAR,2.2,alive,2,22
10,VAR,2.5,dead,2,22
10,VAR,3.9,alive,2,22
10,VAR,3,alive,2,22
10,VAR,3.3,alive,2,22
10,VAR,3.3,alive,2,22
15,VAR,5.5,alive,2,22
15,VAR,5.8,dead,2,22
15,VAR,4,alive,2,22
15,VAR,3,alive,2,22
15,VAR,3.6,alive,2,22
15,VAR,3.5,alive,2,22
15,VAR,5,alive,2,22
15,VAR,3,alive,2,22
15,VAR,2.8,alive,2,22
5,MAN,5,alive,3,22
5,MAN,5,alive,3,22
5,MAN,4.7,alive,3,22
5,MAN,5.3,alive,3,22
5,MAN,5.2,alive,3,22
5,MAN,4.5,alive,3,22
5,MAN,4,alive,3,22
5,LIT,4.7,alive,3,22
10,LIT,4.3,dead,3,22
10,VAR,5,alive,3,22
10,VAR,4.9,alive,3,22
10,VAR,3.5,alive,3,22
15,LIT,4.5,dead,3,22
15,VAR,3,dead,3,22
15,VAR,5,dead,3,22
15,VAR,4.9,alive,3,22
5,LIT,5,alive,4,22
5,LIT,2.9,alive,4,22
5,MAN,2.7,alive,4,22
10,LIT,5,alive,4,22
10,VAR,5.9,dead,4,22
10,LIT,4.7,dead,4,22
10,VAR,5.7,alive,4,22
10,LIT,4.7,dead,4,22
10,VAR,4.4,alive,4,22
10,LIT,5,alive,4,22
10,SOS,7.5,alive,4,22
10,MAN,4,alive,4,22
10,LIT,2.3,alive,4,22
10,LIT,2.5,alive,4,22
15,MAN,5.5,alive,4,22
15,MAN,4.7,alive,4,22
15,LIT,5.3,alive,4,22
15,MAN,3.7,alive,4,22
15,LIT,5,alive,4,22
15,LIT,5,alive,4,22
15,SOS,4.3,dead,4,22
15,LIT,3.3,dead,4,22
10,VAR,5.5,dead,1,29
15,VAR,5.4,dead,1,29
15,VAR,6.3,dead,1,29
15,VAR,4.7,alive,1,29
15,VAR,5.6,dead,1,29
5,VAR,3.1,alive,2,29
10,VAR,5.8,alive,2,29
10,VAR,3.7,alive,2,29
